Nom_del_llibre,Autor,Any_edició,Idioma,Gènere
La isla soñada,Fernando Martínez Gil,1994,Castellano,
La lluita contra el racisme,Rosa Park,2003,Castellano,
La luna en el agua,Cecilia Domínguez Luis,2016,Castellano,Família. Adolescents
La máquina maravillosa,Elvira Mnéndez,1995,Castellano,Ciencia ficción
La màquina pensant,Jacques Futrelle,2004,Català,Misteri
La momia que me amó,Emilio Calderón,2001,Castellano,Infantil/Juvenil
La muerte del cisne,Fernando Lalana,2004,Castellano,Novela negra
La nueva tierra,Jordi Sierra i Fabra,2010,Castellano,Romàntica
La sombra del águila,Arturo Pérez-Reverte,1999,Castellano,Ficción
La última bruja de Trasmoz,César Fernéndez García,2009,Castellano,Teror/ Fastasía
La última jungla,Mar Cole,2012,Castellano,Serie Juvenil
La venganza de la profesora de lengua,Jordi Sierra i Fabra,2021,Castellano,Intriga
La vida secreta de los bots y otros relatos,Palmer/Buckell/Mchugh/Das,2019,Castellano,Ciencia ficción y fantasía
La visita d'un inspector,J. B. Priestley,1996,Català,
La vuelta al mundo en ochenta días,Jules Verne,2011,Castellano,Ficció
LAS AVENTURAS DE TINTÍN LA ESTRELLA MISTERIOSA,Hergé,1974,Castellano,
Las aventuras de Tom Sawyer,Mark Twain,2009,Castellano,Relaismo. Clásico
Las mil y una noches,(adaptación),2009,Castellano,Relatos
Las pelirrojas traen mala suerte,Manuel L.Alonso,2004,Castellano,
Las pelirrojas traen mala suerte,Manuel L.Alonso,1995,Castellano,
L'ascensor okupat,Flor Rey Teijidor,1996,Català,Narrativa
L'aventura de Saïd,Josep Lorman,1995,Català,
Les tribulacions del jove Werther,J. W. Goethe,2013,Català,Ficción
Leyendas,Gustavo A. Bécquer,1990,Castellano,Leyendas
L'herència congelada,Miquel i Daniel Arguimbau,2010,Català,"Amistat, família..."
L'herència congelada,Miquel i Daniel Arguimbau,2010,Català,Amistat
L'home de ferro,Ted Hughes,2011,Català,Lectura fàcil
L'home invisible,H. G Wells,2006,Català,
L'illa del carrer dels ocells,Uri Orlev,1998,Català,Ficción
Llàgrimes de quitrà,Glòria Llobet,2001,Català,
Llagrimes sobre Bagdad,Gemma Paqual i Escrivà,2008,Català,
Lligat trobat a la cabana,Eduard Rouere,2008,Català,Ficción
Llum al món subterrani,Josep Gòrriz,2019,Català,
Los hijos del trueno,F. Lalana y J. Almárcegui,2003,Castellano,
Los Jíbaros,José Antonio del Cañizo,1990,Castellano,
Los niños de la lata de tomate,Cecilia Domínguez Luis,2012,Castellano,Ficció realista
L'ultima crusa de l'home fort,Alan Monroe- Finch,2015,Català,
Marcelo Crecepelos,Fernando Almena,1989,Castellano,
"Mare, qui ets?",Rosemarie von Schach,1999,Català,"Família, amistat"
María Tortazos,Carlos Peramo,2007,Castellano,
Marinela,Benito Pérez Galdós,1987,Castellano,Novela
Más allá de los océanos,Pierdomenico Baccalario,2002,Castellano,Narrativa infantil
Matilda,Roald Dahl,2009,Castellano,Infantil/Juvenil
Mi amigo Luki-live,Christine Nöstlinger,2008,Castellano,
Misericorda,Benito Pérez Galdós,1984,Castellano,Ficción
Momo,Michael Ende,2012,Castellano,Ficció. Amistat
Mujer de ojos marrones,José Ferrer Bermejo,1993,Castellano,
Naves Negras ante Troya,Rosemary Sutcliff,2003,Castellano,Clásico/Histórico
Nick Una historia de redes y mentiras,Inma Chacón,2013,Castellano,Aventures
No desperteu al drac,Marta Molas,2005,Català,Fantasia
No desperteu el drac,Marta Molas,2005,Català,Fantasía
No volia escriure aquest llibre,Albert Güell i Juanola,2017,Català,
No vulevas a leer Jane Eyre,Carmen Gómez Ojea,1999,Castellano,Infantil/Juvenil
Només Flanagan,Andreu Martín i Jaume Ribera,2003,Català,
Noticia de un secuestro,Gabriel García Márquez,1999,Castellano,True crime
NOU DIARI DE LA JOVE MANIÀTICS,Ann McPherson i Aidan Macfarlane,1996,Català,
Nou Diari del jove maniàtic,Aidan Macfarlane I Ann McPerson,1999,Català,
Operació Kyoto,Àngel Burgas,2007,Català,Novel·la
Operació Sydney,Judy Allen,1999,Català,Aventura
"Ostres tu, quin cacau!",Maite Carranza,1986,Català,Aventura
Otra vuelta de tuerca,Henry James,1988,Castellano,Novela
Peribáñez y el Comendador de Ocaña,Lope de Vega,1989,Castellano,Teatro
Pilates,Mari Winsor y Mark Laska,2007,Castellano,Deporte/Salud
Plantar cara,Lluis Bussquets,1996,Català,Superació personal
Poesía,Antonio Machado,2008,Castellano,Poesía
Poeta en Nueva York,Federico García Lorca,1966,Castellano,Poesía
Potser aquesta nit a Cala Roja,Raimon Esplugafreda,1989,Català,Intriga. Amor
"Qiu mana, mana",Gisela Pou,1994,Català,
Rebelión en nueva Granada,Luis Leante,2008,Castellano,
Redención La saga de Dhamon Volumen 3,Jean Rabe,2002,Castellano,Ficció. Acció
Relatos de monstruos,Steven Zorn,2006,Castellano,
Relatos Galácticos,Jordi Sierra i Fabra,2002,Castellano,Infantil/Juvenil
Robinson Crusoe,Daniel Defoe (Adaptado),2004,Castellano,Realismo. Clásico
Robinson Crusoe,Daniel Defoe,1987,Castellano,Novela/ Aventura
Robinson Crusoe (x2),Daniel Defoe,1987,Castellano,Aventuras
Señora de rojo sobre fondo gris,Miguel Delibes,1993,Castellano,Novela
Simbad El marino,Agustin sanchez,2003,Castellano,
"Simón,no;Saimon (2)",Jorge Gamero,2012,Castellano,Infantil/Juvenil
Sin billete de vuelta,Alfredo Gómez Cerdá,2002,Castellano,Crítica social
Sin noticias de Gurb,Eduardo Mendoza,2004,Castellano,Ficción
Spartan,Valerio Massimo Manfredi,1988,English,Novela
